country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_newinc,c_newinc_next_year,c_newinc_percent_change_next_year,case_change_direction,low_c_newinc_flag,temporal_analysis_cohort_flag
Bhutan,BTN,2020,SEA,1.0,0.09010339734121123,1.0,True,False,True,911.0,854.0,-6.256860592755214,Rückgang,False,True
Bhutan,BTN,2021,SEA,1.0,0.02252252252252252,1.0,True,False,True,854.0,794.0,-7.02576112412178,Rückgang,False,True
Bhutan,BTN,2022,SEA,0.8958755916159568,0.12778904665314403,0.8994708994708994,False,False,False,794.0,840.0,5.793450881612091,Anstieg,False,True
Bhutan,BTN,2023,SEA,1.0,0.045567112431896976,1.0,True,False,True,840.0,903.0,7.5,Anstieg,False,True
Botswana,BWA,2023,AFR,0.8702081051478642,0.947973713033954,,False,False,False,1753.0,2402.0,37.02224757558471,Anstieg,False,False
Central African Republic,CAF,2021,AFR,1.0,0.977112676056338,0.9427027027027027,True,False,False,13216.0,14389.0,8.875605326876514,Anstieg,False,False
Central African Republic,CAF,2022,AFR,1.0,1.0,,True,True,False,14389.0,14782.0,2.731253040517062,Anstieg,False,False
Central African Republic,CAF,2023,AFR,1.0,0.915702479338843,0.9467509025270758,True,False,False,14782.0,15855.0,7.258828304694899,Anstieg,False,False
Switzerland,CHE,2020,EUR,1.0,0.19618528610354224,,True,False,False,351.0,355.0,1.1396011396011396,Anstieg,False,False
Switzerland,CHE,2021,EUR,1.0,0.1544502617801047,,True,False,False,355.0,346.0,-2.535211267605634,Rückgang,False,False
Switzerland,CHE,2022,EUR,1.0,0.12780898876404495,,True,False,False,346.0,413.0,19.36416184971098,Anstieg,False,False
Switzerland,CHE,2023,EUR,0.7761341222879684,0.1765285996055227,0.6983240223463687,False,False,False,413.0,421.0,1.937046004842615,Anstieg,False,False
Chile,CHL,2019,AMR,0.8295424490875429,,,False,False,False,2912.0,2420.0,-16.895604395604398,Rückgang,False,True
Chile,CHL,2020,AMR,0.8273609555804404,,,False,False,False,2420.0,2631.0,8.71900826446281,Anstieg,False,True
Chile,CHL,2021,AMR,0.8374358066229857,,,False,False,False,2631.0,2880.0,9.464082098061574,Anstieg,False,True
Chile,CHL,2022,AMR,0.839572192513369,,,False,False,False,2880.0,3151.0,9.409722222222221,Anstieg,False,True
Chile,CHL,2023,AMR,0.7860446137105549,,,False,False,False,3151.0,3091.0,-1.9041574103459218,Rückgang,False,True
China,CHN,2019,WPR,0.7844423111213574,,,False,False,False,728265.0,624715.0,-14.218725326632475,Rückgang,False,True
China,CHN,2020,WPR,0.9968101558230482,,,False,False,False,624715.0,585340.0,-6.302874110594431,Rückgang,False,True
China,CHN,2021,WPR,0.996073763953317,,,False,False,False,585340.0,501261.0,-14.364130249086001,Rückgang,False,True
