country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,rr_rate_new_next_year,mdr_rate_new_next_year
Egypt,EGY,2019,EMR,0.8502874834144184,0.05030959752321981,0.8615384615384616,False,False,False,0.007815275310834813,0.0021314387211367673
Egypt,EGY,2022,EMR,0.909302928219746,0.12788287121015807,0.7993920972644377,False,False,False,0.007828282828282828,0.0030303030303030303
Egypt,EGY,2023,EMR,0.729920650280627,0.05259338107218889,,False,False,False,0.013065064018813691,0.00339691664489156
Eritrea,ERI,2022,AFR,1.0,,0.9957716701902748,True,False,False,0.02207792207792208,0.36
Eritrea,ERI,2023,AFR,1.0,,0.9959286545172548,True,False,False,0.013223140495867768,0.0
Ethiopia,ETH,2019,AFR,0.8902705000855838,,,False,False,False,0.013312603245554368,0.33962264150943394
Ethiopia,ETH,2020,AFR,0.9308046511335725,0.055098720372894774,,False,False,False,0.022598870056497175,0.36666666666666664
Fiji,FJI,2022,WPR,1.0,0.9966777408637874,0.6466666666666666,True,False,False,0.013793103448275862,0.0
United Kingdom of Great Britain and Northern Ireland,GBR,2023,EUR,0.765123570638141,0.1066949465142014,0.8228176318063959,False,False,False,0.023472099202834367,0.020026702269692925
Ghana,GHA,2019,AFR,0.09341819675016132,0.0005279521323400012,1.0,False,False,True,0.02245508982035928,0.00062375249500998
Ghana,GHA,2020,AFR,0.910989678202793,0.01068609593199757,,False,False,False,0.02203469292076887,0.11702127659574468
Ghana,GHA,2021,AFR,0.9797316585783614,0.20678703968027404,,False,False,False,0.015801948907031866,0.002458080941093846
Ghana,GHA,2022,AFR,0.9198599198091661,0.4383596406638583,,False,False,False,0.015296367112810707,0.003135755258126195
Ghana,GHA,2023,AFR,0.9794937563280459,0.4086128923388458,0.43088410202193733,False,False,False,0.01279269843644797,0.002172610128858256
Guinea,GIN,2021,AFR,1.0,1.0,,True,True,False,0.03602371181030552,0.8297872340425532
Guinea,GIN,2022,AFR,1.0,1.0,,True,True,False,0.0468615649183147,0.5135135135135135
Guinea,GIN,2023,AFR,1.0,0.9998240675580577,,True,False,False,0.03497394325419803,0.42857142857142855
Gambia,GMB,2020,AFR,0.1454849498327759,0.42474916387959866,0.7244094488188977,False,False,False,0.002553191489361702,0.013824884792626729
Gambia,GMB,2023,AFR,1.0,0.13351656299725156,0.9479956663055255,True,False,False,0.010672358591248666,0.2
Guatemala,GTM,2021,AMR,0.30228667038482987,0.30228667038482987,,False,False,False,0.021431459765467044,0.00646987464617873
Guatemala,GTM,2022,AMR,0.8081415519833468,0.2524574997108824,,False,False,False,0.0186950146627566,0.006598240469208211
Guatemala,GTM,2023,AMR,0.8095614828209765,0.2363245931283906,0.5691056910569106,False,False,False,0.02942942942942943,0.013192612137203167
Guam,GUM,2019,WPR,0.30364372469635625,0.19838056680161945,0.5306122448979592,False,False,False,0.0,0.0
Guam,GUM,2020,WPR,0.64375,0.25625,0.5365853658536586,False,False,False,0.02857142857142857,0.02857142857142857
Guam,GUM,2021,WPR,0.7916666666666666,0.3819444444444444,0.6545454545454545,False,False,False,0.019230769230769232,0.019230769230769232
Guam,GUM,2022,WPR,0.6532258064516129,0.06182795698924731,0.6956521739130435,False,False,False,0.03225806451612903,0.03333333333333333
Guam,GUM,2023,WPR,0.15081967213114755,0.018032786885245903,1.0,False,False,True,0.0,0.0
"China, Hong Kong SAR",HKG,2019,WPR,0.8219354838709677,0.15483870967741936,0.8916666666666667,False,False,False,0.00665083135391924,0.004752851711026616
"China, Hong Kong SAR",HKG,2020,WPR,0.603157321720196,0.18671747414262385,0.8542274052478134,False,False,False,0.010087116001834021,0.007798165137614679
"China, Hong Kong SAR",HKG,2021,WPR,0.5733916302311055,0.19800124921923798,0.8170347003154574,False,False,False,0.011064278187565859,0.008961518186610437
"China, Hong Kong SAR",HKG,2022,WPR,0.5775553967119371,0.20729092208720515,0.8379310344827586,False,False,False,0.009004502251125562,0.005502751375687844
"China, Hong Kong SAR",HKG,2023,WPR,0.5672235481304694,0.16070007955449483,0.801980198019802,False,False,False,0.00631911532385466,0.004741833508956797
Honduras,HND,2019,AMR,0.5268287570739887,0.21201006078390275,,False,False,False,0.019955654101995565,0.0011086474501108647
Honduras,HND,2020,AMR,0.38286441396861304,0.22875724586455534,0.0,False,False,True,0.013043478260869565,0.001451378809869376
Honduras,HND,2022,AMR,0.37873340707964603,0.10674778761061947,,False,False,False,0.019543973941368076,0.006514657980456026
Honduras,HND,2023,AMR,0.5298376051653296,0.13627470162394834,,False,False,False,0.009544787077826725,0.025
Haiti,HTI,2020,AMR,1.0,0.14849531327084362,,True,False,False,0.049019607843137254,0.10984848484848485
Indonesia,IDN,2019,WPR,0.029479386288997596,0.002853969188266587,0.2795838751625488,False,False,False,0.0391431433068291,0.6233933161953727
Indonesia,IDN,2020,WPR,0.028802596751664154,0.0011906437863371004,0.5387840670859538,False,False,False,0.027776432243912227,0.5520054384772264
Indonesia,IDN,2021,WPR,0.9789280197268452,0.0015776609340329539,0.6935161382462154,False,False,False,0.03218751485760472,0.5686715985847539
Indonesia,IDN,2022,WPR,0.9925245951818792,0.028825505335133766,0.6657264531828991,False,False,False,0.020773450414310834,0.6089918256130791
Indonesia,IDN,2023,WPR,0.9882473212649608,0.0701148649300298,0.7266024759284732,False,False,False,0.017772888086295215,0.2750215084599943
India,IND,2019,SEA,0.7924773801752456,0.022153024839242502,0.07116449333430465,False,False,False,0.02592670991073735,0.018077174623937212
India,IND,2020,SEA,0.8524492351122137,0.04233149767722845,,False,False,False,0.04732038846492167,0.05379390712739279
India,IND,2021,SEA,0.760220854653506,0.10637958683660034,0.7023626103449083,False,False,False,0.04507560148350081,0.05480618370111754
India,IND,2022,SEA,0.9418253347762041,0.2420277617547088,0.8099988797394102,False,False,False,0.04184991530331286,0.03932504320130112
India,IND,2023,SEA,0.9413053038488058,0.2942607241553421,0.7666460635805089,False,False,False,0.036262419605729325,0.03239212325798534
Iran (Islamic Republic of),IRN,2019,EMR,0.9346065833480021,0.11868509065305403,0.8728216536892844,False,False,False,0.002883922134102379,0.001885014137606032
Iran (Islamic Republic of),IRN,2020,EMR,0.9419413155333055,0.1272423863162286,0.9158469945355191,False,False,False,0.010393873085339168,0.004411764705882353
Iran (Islamic Republic of),IRN,2021,EMR,0.9361020468703649,0.10756452091367547,0.8698290126861555,False,False,False,0.005447735784814436,0.011363636363636364
Iran (Islamic Republic of),IRN,2022,EMR,0.9149332061068702,0.1064885496183206,0.8378136200716846,False,False,False,0.007175807278318811,0.010269576379974325
Iran (Islamic Republic of),IRN,2023,EMR,0.9292984369320247,0.11673027989821882,0.8875048657065006,False,False,False,0.004461221688400824,0.011363636363636364
Iraq,IRQ,2019,EMR,0.5806228904571955,0.20796256520405032,0.7097012172630026,False,False,False,0.18518518518518517,0.07407407407407407
Iraq,IRQ,2020,EMR,0.5593697242543613,,,False,False,False,0.06957928802588997,0.043689320388349516
Iraq,IRQ,2021,EMR,0.635330752398586,0.1824608651742131,0.8514760147601476,False,False,False,0.02709744658676394,0.006253256904637832
Iraq,IRQ,2022,EMR,0.6142227361422273,0.5556117655561177,0.9154526534859522,False,False,False,0.03553756185335133,0.007647323436797121
Iraq,IRQ,2023,EMR,0.6926248638556092,0.6220631709973549,0.830040020010005,False,False,False,0.011647254575707155,0.003882418191902385
Jordan,JOR,2023,EMR,0.8076923076923077,0.14358974358974358,0.8928571428571429,False,False,False,0.012987012987012988,0.0
Kazakhstan,KAZ,2019,EUR,1.0,0.024126944848278636,,True,False,False,0.3618773157678057,0.2758336764100453
Kazakhstan,KAZ,2020,EUR,1.0,0.1252202601882053,1.0,True,False,True,0.37727006444053895,0.29349736379613356
Kazakhstan,KAZ,2021,EUR,1.0,0.16619559072922555,1.0,True,False,True,0.33486550902281237,0.2730677562138236
Kazakhstan,KAZ,2022,EUR,1.0,0.17615849563465413,,True,False,False,0.3117475373951113,0.27289310470631156
Kazakhstan,KAZ,2023,EUR,1.0,0.1708451089433859,0.9099964425471363,True,False,False,0.29865453856357776,0.25677468258480196
Kenya,KEN,2019,AFR,1.0,0.9610165593376265,0.7633121933708269,True,False,False,0.008696713557718715,0.011494252873563218
Kenya,KEN,2020,AFR,0.10328460224036454,0.8311182836529334,0.7497430039977155,False,False,False,0.010913337628865979,0.08050847457627118
Kenya,KEN,2021,AFR,0.8467157083868281,0.06450605503313786,0.8168370091447015,False,False,False,0.005781073268819907,0.0
Kenya,KEN,2022,AFR,1.0,0.2903555646444798,0.895578147966683,True,False,False,0.008138084924853973,0.08604651162790698
Kenya,KEN,2023,AFR,0.99828992022566,0.3821587553439993,0.8925128015869355,False,False,False,0.006793551517765677,0.37209302325581395
Kyrgyzstan,KGZ,2019,EUR,1.0,0.048442556634304204,,True,False,False,0.2831705916140149,0.22458357265939116
Kyrgyzstan,KGZ,2020,EUR,1.0,0.038328861632809505,,True,False,False,0.2587991718426501,0.25605095541401274
Kyrgyzstan,KGZ,2021,EUR,1.0,0.03979261179520415,0.6156351791530945,True,False,False,0.23279158699808794,0.1959847036328872
Kyrgyzstan,KGZ,2022,EUR,0.9738939269029954,0.06856279197581754,0.9018036072144289,False,False,False,0.20916905444126074,0.14955577492596248
Kyrgyzstan,KGZ,2023,EUR,0.9748410658731232,0.061003652103341,0.9290465631929047,False,False,False,0.19554695062923524,0.17037754114230397
Republic of Korea,KOR,2019,WPR,0.8082258934261484,0.1331928035688024,0.7007729112992271,False,False,False,0.03135329115119464,0.020020776277268865
Republic of Korea,KOR,2020,WPR,0.833202291362462,0.15230821071548917,0.7216076696165191,False,False,False,0.03005170185264972,0.01971133132270573
Republic of Korea,KOR,2021,WPR,0.8200498132004981,0.15950601909506018,0.8197787898503578,False,False,False,0.02796194868838282,0.01835303161333718
Republic of Korea,KOR,2022,WPR,0.7745813653928725,0.15193522664540268,0.8566814695195801,False,False,False,0.02643256801080455,0.013639001741149159
Republic of Korea,KOR,2023,WPR,0.7745313854979654,0.16396504569408313,0.8641171684296176,False,False,False,0.02584327970939284,0.016813700051894136
Kuwait,KWT,2019,EMR,1.0,0.9974763406940063,0.9955724225173941,True,False,False,0.023411371237458192,0.020066889632107024
Kuwait,KWT,2020,EMR,1.0,0.9989451476793249,,True,False,False,0.012468827930174564,0.012658227848101266
Kuwait,KWT,2021,EMR,1.0,,,True,False,False,0.020242914979757085,0.016194331983805668
Kuwait,KWT,2022,EMR,1.0,0.27435530085959886,,True,False,False,0.03211009174311927,0.03211009174311927
Kuwait,KWT,2023,EMR,1.0,0.2733707590920185,,True,False,False,0.015151515151515152,0.015151515151515152
Lebanon,LBN,2019,EMR,0.8690404345202173,0.2637296318648159,,False,False,False,0.0061162079510703364,0.043478260869565216
Lebanon,LBN,2020,EMR,0.9307036247334755,0.31449893390191896,,False,False,False,0.013157894736842105,0.008771929824561403
Lebanon,LBN,2021,EMR,0.9270718232044199,0.3005524861878453,,False,False,False,0.012195121951219513,0.014705882352941176
Lebanon,LBN,2022,EMR,0.8133333333333334,0.19076923076923077,,False,False,False,0.006622516556291391,0.0
Lebanon,LBN,2023,EMR,0.8350903614457831,0.19954819277108435,,False,False,False,0.010676156583629894,0.0071174377224199285
Libya,LBY,2020,EMR,0.0,1.0,,True,True,False,0.009259259259259259,0.5
Sri Lanka,LKA,2021,SEA,0.5866351596416992,0.040281365060174754,1.0,False,False,True,0.010869565217391304,0.002173913043478261
Sri Lanka,LKA,2022,SEA,0.6790484140233722,0.08879382303839733,1.0,False,False,True,0.000736105999263894,0.001375515818431912
Sri Lanka,LKA,2023,SEA,0.6669695592912313,0.12020510157720517,0.8612311015118791,False,False,False,0.0017985611510791368,0.0009242144177449168
